ID,TYPE,Publication,Latitude,Longitude,Species_numbers,Rows,Columns,Publicaiton_Year
M_PL_060_14,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,48,11,37,2010
M_PL_060_15,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,51,14,37,2010
M_PL_060_16,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,56,17,39,2010
M_PL_060_17,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,52,17,35,2010
M_PL_060_18,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,48,20,28,2010
M_PL_060_19,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,31,18,13,2010
M_PL_060_20,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,30,12,18,2010
M_PL_060_21,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,28,6,22,2010
M_PL_060_22,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,44,13,31,2010
M_PL_060_23,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,39,12,27,2010
M_PL_060_24,Pollination,Kaiser-Bunbury et al. (2010),-20.7,57.733333,36,13,23,2010
M_PL_061_01,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,17,5,12,2014
M_PL_061_02,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,22,5,17,2014
M_PL_061_03,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,20,6,14,2014
M_PL_061_04,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,20,7,13,2014
M_PL_061_05,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,34,12,22,2014
M_PL_061_06,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,35,11,24,2014
M_PL_061_07,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,30,8,22,2014
M_PL_061_08,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,25,6,19,2014
M_PL_061_09,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,16,6,10,2014
M_PL_061_10,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,19,5,14,2014
M_PL_061_11,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,16,5,11,2014
M_PL_061_12,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,19,7,12,2014
M_PL_061_13,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,26,7,19,2014
M_PL_061_14,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,15,5,10,2014
M_PL_061_15,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,24,6,18,2014
M_PL_061_16,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,27,8,19,2014
M_PL_061_17,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,12,5,7,2014
M_PL_061_18,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,29,11,18,2014
M_PL_061_19,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,32,11,21,2014
M_PL_061_20,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,19,9,10,2014
M_PL_061_21,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,29,11,18,2014
M_PL_061_22,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,16,6,10,2014
M_PL_061_23,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,34,9,25,2014
M_PL_061_24,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,29,11,18,2014
M_PL_061_25,Pollination,Kaiser-Bunbury et al. (2014),-4.666667,55.43333,16,5,11,2014
