"species","networks"
"Cupania americana","M_SD_003; M_SD_005"
"Cupania dentata","Ramos_Robles_2016_net3"
"Cupania emarginata","Andrade_2011; de_Oliveira_1999"
"Cupania oblongifolia","Castro_2015; Machado_de_Souza_2019"
"Cupania vernalis","Blendinger_2015"
"Curatella americana","Andrade_2011"
"Cussonia zimmermannii","Engel_2000"
"Cyclanthus bipartitus","Castano_2018"
"Cyperus fuscus","Jaroszewicz_2013"
"Cyphostemma cyphopetalum","M_SD_034"
"Dacrycarpus dacrydioides","Garcia_2014_Blue_Duck; Garcia_2014_Mount_Fyfee_Reserve; Odonnell_1994"
"Dacrydium cupressinum","Odonnell_1994"
"Dactylis glomerata","Jaroszewicz_2013"
"Daphne gnidium","Costa_2013_endozoochory; Fuentes_1994"
"Daphne laureola","M_SD_020; Snow_1988_JJA"
"Daphniphyllum teysmannii","Noma_1997"
"Davilla kunthii","M_SD_010_single_partners_added"
"Dendropanax arboreus","Blake_1992; M_SD_003; M_SD_004; M_SD_006; Ramos_Robles_2016_net4; Ramos_Robles_2016_net6"
"Dendropanax cuneatum","M_SD_009; M_SD_012"
"Dendropemon bicolor","M_SD_004"
"Dendrophthora chrysostachya","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4"
"Dendrophthora densifolia","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4"
"Dendrophthora macbridei","SAAV1"
"Dendrophthora paucifolia","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2"
"Dendrophthora rotundata","Dehling_2017_Wayqecha_3"
"Deschampsia cespitosa","Jaroszewicz_2013"
"Desmodium incanum","Nogales_2017"
"Desmodium procumbens","Nogales_2017"
"Dichapetalum arenarium","Engel_2000"
"Dichrostachys cinerea","Engel_2000"
"Dictyocaryum lamarckianum","SAAV1"
"Dictyophleba lucida","Engel_2000"
"Digitaria ischaemum","Jaroszewicz_2013"
"Diogenesia vargasiana","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2"
"Dioscorea communis","Costa_2013_endozoochory; Snow_1988_DJF; Snow_1988_SON; Sorensen_1981"
"Diospyros abyssinica","Engel_2000; Hovestadt_1997"
"Diospyros acapulcensis subsp  verae-crucis","Ramos_Robles_2016_net10; Ramos_Robles_2016_net2; Ramos_Robles_2016_net3"
"Diospyros consolatae","Engel_2000"
"Diospyros glandulosa","Suzuki_2007"
"Diospyros kaki","Koike_2008"
