species,networks,Taxonomy,Notes
Diptera sp38 M_PL_017,M_PL_017,Order,
Diptera sp4 M_PL_086,M_PL_061_03,Order,
Diptera sp4 M_PL_090,M_PL_061_07,Order,
Diptera sp4 M_PL_104,M_PL_061_21,Order,
Diptera sp4 M_PL_106,M_PL_061_23,Order,
Diptera sp4 M_PL_107,M_PL_061_24,Order,
Diptera sp4 M_PL_119,M_PL_061_36,Order,
Diptera sp4 M_PL_126,M_PL_061_43,Order,
Diptera sp41 M_PL_051,M_PL_051,Order,
Diptera sp42 M_PL_051,M_PL_051,Order,
Diptera sp43 M_PL_051,M_PL_051,Order,
Diptera sp44 M_PL_051,M_PL_051,Order,
Diptera sp5 M_PL_093,M_PL_061_10,Order,
Diptera sp5 M_PL_101,M_PL_061_18,Order,
Diptera sp5 M_PL_102,M_PL_061_19,Order,
Diptera sp5 M_PL_106,M_PL_061_23,Order,
Diptera sp6 M_PL_101,M_PL_061_18,Order,
Diptera sp6 M_PL_106,M_PL_061_23,Order,
Diptera sp6 M_PL_130,M_PL_061_47,Order,
Diptera sp7 M_PL_096,M_PL_061_13,Order,
Diptera sp7 M_PL_098,M_PL_061_15,Order,
Diptera sp7 M_PL_128,M_PL_061_45,Order,
Diptera sp7 M_PL_130,M_PL_061_47,Order,
Diptera sp8 M_PL_101,M_PL_061_18,Order,
Diptera sp90 M_PL_057,M_PL_057,Order,
Diptera sp91 M_PL_057,M_PL_057,Order,
Dolichopodidae sp1 M_PL_069,M_PL_060_10,Family,
Dolichopus sp1 M_PL_045,M_PL_045,Genus,
Dolichopus sp1 M_PL_055,M_PL_055,Genus,
Drosophila sp1 M_PL_055,M_PL_055,Genus,
Drosophila sp1 M_PL_064,M_PL_060_05,Genus,
Drosophila sp1 M_PL_068,M_PL_060_09,Genus,
Drosophila sp2 M_PL_055,M_PL_055,Genus,
Drosophila sp2 M_PL_065,M_PL_060_06,Genus,
Ectemunis or Cranocernus sp1 M_PL_057,M_PL_057,Genus,Spelling mistake
Empis sp2 M_PL_019,M_PL_019,Genus,
Empis sp3 M_PL_019,M_PL_019,Genus,
Empis sp4 M_PL_019,M_PL_019,Genus,
Empis sp5 M_PL_019,M_PL_019,Genus,
Empis sp6 M_PL_019,M_PL_019,Genus,
Ephemeroptera sp344 M_PL_057,M_PL_057,Order,
Epicharis sp1 M_PL_059,M_PL_059,Genus,
Epistoropheaino sp1 M_PL_057,M_PL_057,Genus,Spelling mistake: should be: Epistrophe
Epistrophe sp1 M_PL_055,M_PL_055,Genus,
Episyrphus sp1 M_PL_060,M_PL_060_01,Genus,
Episyrphus sp1 M_PL_061,M_PL_060_02,Genus,
Episyrphus sp1 M_PL_062,M_PL_060_03,Genus,
Episyrphus sp1 M_PL_063,M_PL_060_04,Genus,
Episyrphus sp1 M_PL_064,M_PL_060_05,Genus,
Episyrphus sp1 M_PL_067,M_PL_060_08,Genus,
Episyrphus sp1 M_PL_068,M_PL_060_09,Genus,
Episyrphus sp1 M_PL_070,M_PL_060_11,Genus,
Episyrphus sp1 M_PL_071,M_PL_060_12,Genus,
Episyrphus sp1 M_PL_073,M_PL_060_14,Genus,
Episyrphus sp1 M_PL_074,M_PL_060_15,Genus,
Episyrphus sp1 M_PL_075,M_PL_060_16,Genus,
Episyrphus sp1 M_PL_076,M_PL_060_17,Genus,
Episyrphus sp1 M_PL_080,M_PL_060_21,Genus,
Episyrphus sp1 M_PL_081,M_PL_060_22,Genus,
Episyrphus sp1 M_PL_082,M_PL_060_23,Genus,
Epuraea sp1 M_PL_056,M_PL_056,Genus,
Epuraea sp1 M_PL_057,M_PL_057,Genus,
Eucera sp1 M_PL_058,M_PL_058,Genus,
Eumolpinae sp1 M_PL_064,M_PL_060_05,Subfamily,
Eumolpinae sp1 M_PL_075,M_PL_060_16,Subfamily,
Eumolpinae sp1 M_PL_077,M_PL_060_18,Subfamily,
Eumolpinae sp2 M_PL_075,M_PL_060_16,Subfamily,
Euryglossa sp1 M_PL_019,M_PL_019,Genus,
Euryglossa sp2 M_PL_019,M_PL_019,Genus,
Euryglossa sp3 M_PL_019,M_PL_019,Genus,
Eusphalerum sp1 M_PL_004,M_PL_004,Genus,
Eutachina sp1 M_PL_055,M_PL_055,,Can't find
Evylaeus sp1 M_PL_051,M_PL_051,Subgenus,
Exonera sp1 M_PL_019,M_PL_019,,Can't find
Forcipomyia sp1 M_PL_096,M_PL_061_13,Genus,
Forcipomyia sp1 M_PL_098,M_PL_061_15,Genus,
Forcipomyia sp1 M_PL_099,M_PL_061_16,Genus,
Forcipomyia sp1 M_PL_103,M_PL_061_20,Genus,
Forcipomyia sp1 M_PL_106,M_PL_061_23,Genus,
Forcipomyia sp1 M_PL_121,M_PL_061_38,Genus,
Forcipomyia sp1 M_PL_128,M_PL_061_45,Genus,
Forcipomyia sp1 M_PL_130,M_PL_061_47,Genus,
Formica sp1 M_PL_057,M_PL_057,Genus,
Formicidae sp1 M_PL_057,M_PL_057,Family,
GELECHIIDAE sp1 M_PL_057,M_PL_057,Family,
Gelechioidea sp1 M_PL_065,M_PL_060_06,Superfamily,
Gelechioidea sp1 M_PL_073,M_PL_060_14,Superfamily,
Gelechioidea sp1 M_PL_074,M_PL_060_15,Superfamily,
Gelechioidea sp1 M_PL_075,M_PL_060_16,Superfamily,
Gelechioidea sp1 M_PL_076,M_PL_060_17,Superfamily,
Gelechioidea sp2 M_PL_074,M_PL_060_15,Superfamily,
Gelechioidea sp2 M_PL_076,M_PL_060_17,Superfamily,
Gonia sp1 M_PL_025,M_PL_025,Genus,
Gorpis sp1 M_PL_057,M_PL_057,Genus,
Gymnosoma sp1 M_PL_055,M_PL_055,Genus,
Halictid sp1 M_PL_025,M_PL_025,Family,
Halictus sp1 M_PL_058,M_PL_058,Genus,
Halyctus sp1 M_PL_058,M_PL_058,Family,Best guesss is it's family
Haplothrips sp1 M_PL_055,M_PL_055,Genus,
Harpalus sp1 M_PL_057,M_PL_057,Genus,
Helina sp1 M_PL_019,M_PL_019,Genus,
Helina sp1 M_PL_055,M_PL_055,Genus,
Helina sp2 M_PL_019,M_PL_019,Genus,
Helina sp2 M_PL_055,M_PL_055,Genus,
Helina sp3 M_PL_055,M_PL_055,Genus,
Helina sp4 M_PL_055,M_PL_055,Genus,
Helophilus sp1 M_PL_006,M_PL_006,Genus,
Helophilus sp1 M_PL_007,M_PL_007,Genus,
Hemipyrellia sp1 M_PL_086,M_PL_061_03,Genus,
Hemipyrellia sp1 M_PL_087,M_PL_061_04,Genus,
Hemipyrellia sp1 M_PL_088,M_PL_061_05,Genus,
Hemipyrellia sp1 M_PL_093,M_PL_061_10,Genus,
Hemipyrellia sp1 M_PL_095,M_PL_061_12,Genus,
Hemipyrellia sp1 M_PL_097,M_PL_061_14,Genus,
Hemipyrellia sp1 M_PL_098,M_PL_061_15,Genus,
Hemipyrellia sp1 M_PL_106,M_PL_061_23,Genus,
Hemipyrellia sp1 M_PL_107,M_PL_061_24,Genus,
Hemipyrellia sp1 M_PL_108,M_PL_061_25,Genus,
Hemipyrellia sp1 M_PL_109,M_PL_061_26,Genus,
Hemipyrellia sp1 M_PL_110,M_PL_061_27,Genus,
Hemipyrellia sp1 M_PL_111,M_PL_061_28,Genus,
Hemipyrellia sp1 M_PL_112,M_PL_061_29,Genus,
Hemipyrellia sp1 M_PL_114,M_PL_061_31,Genus,
Hemipyrellia sp1 M_PL_115,M_PL_061_32,Genus,
Hemipyrellia sp1 M_PL_118,M_PL_061_35,Genus,
Hemipyrellia sp1 M_PL_119,M_PL_061_36,Genus,
Hemipyrellia sp1 M_PL_123,M_PL_061_40,Genus,
Hemipyrellia sp1 M_PL_126,M_PL_061_43,Genus,
Hemipyrellia sp1 M_PL_127,M_PL_061_44,Genus,
Hemipyrellia sp1 M_PL_129,M_PL_061_46,Genus,
Hemipyrellia sp1 M_PL_130,M_PL_061_47,Genus,
