"species","networks"
"Dioxyna sororcula","M_PL_044; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_07; M_PL_060_15; M_PL_060_16; M_PL_060_17"
"Dolichopus nitidus","M_PL_055"
"Dolichovespula adulterina","M_PL_056"
"Dolichovespula media sugare","M_PL_057"
"Dolichovespula norvegicoides","M_PL_056"
"Dolycoris bacculum","M_PL_055"
"Donacia provostii","M_PL_055"
"Doryfera ludovicae","M_PL_074_01; M_PL_074_02; M_PL_074_03; M_PL_074_16"
"Dromius prolixus","M_PL_057"
"Dybowskia reticulata","M_PL_054"
"Dysauxes florida","M_PL_060_01; M_PL_060_02; M_PL_060_04; M_PL_060_05; M_PL_060_13; M_PL_060_14; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_18; M_PL_060_19; M_PL_060_20; M_PL_060_22; M_PL_060_23; M_PL_060_24"
"Dysderus philippinus","M_PL_044"
"Eagris sabadius","M_PL_061_06; M_PL_061_07; M_PL_061_29; M_PL_061_37; M_PL_061_40; M_PL_061_48"
"Echinomyia mikado","M_PL_055"
"Eclimus harrisi","M_PL_004"
"Ectemnius confinissp","M_PL_044"
"Ectemnius nigritarsus","M_PL_057"
"Ectemnius radiatus","M_PL_057"
"Ectemnius rubicola","M_PL_054"
"Ectemnuis dives","M_PL_057"
"Ectinohoplia gracilis","M_PL_044"
"Ectinohoplia obducta","M_PL_056; M_PL_057"
"Ectinus sericeus","M_PL_057"
"Ectophasia sinensis","M_PL_057"
"Eilema squalida","M_PL_060_05; M_PL_060_06"
"Elasmostethus humeralis","M_PL_044; M_PL_057"
"Elasmucha nipponica","M_PL_057"
"Empis flavofasalis","M_PL_056"
"Empis livida","M_PL_006; M_PL_007"
"Endelus opacipennis","M_PL_044"
"Ensifera ensifera","M_PL_068; M_PL_074_12"
"Ensina sonchi","M_PL_044"
"Eobia cinereipennis","M_PL_044"
"Eocanthecoma kyushuensis","M_PL_044"
"Epania septentrionalis","M_PL_044"
"Epeolus melectiformis","M_PL_057"
"Ephemoropsis laboriosa","M_PL_025"
"Epiacanthus stramineus","M_PL_044"
"Epilachna niponica","M_PL_057"
"Epilachna vigintioctopunctata","M_PL_044"
"Epilichas flabellatus","M_PL_057"
"Epistorophe orientaris","M_PL_057"
"Epistotophe shibakawae","M_PL_057"
"Episymploce amamtensis","M_PL_044"
"Episyrphus arbustorum","M_PL_017"
"Episyrphus balteatus","M_PL_007; M_PL_017; M_PL_044; M_PL_054; M_PL_055; M_PL_056; M_PL_057"
"Epuraea commutata","M_PL_044"
"Epuraea dentipes","M_PL_044"
"Epuraea fergeri","M_PL_056"
"Eremomyioides setosa","M_PL_004"
"Eriocnemis derbyi","M_PL_068"
"Eriocnemis mosquera","M_PL_068"
"Eriothrix rufomaculata","M_PL_006; M_PL_007; M_PL_017"
"Eristalinus arvorumsp","M_PL_044"
"Eristalinus flaveolus","M_PL_060_01; M_PL_060_02; M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_08; M_PL_060_09; M_PL_060_11; M_PL_060_12; M_PL_060_13; M_PL_060_15; M_PL_060_16; M_PL_060_17; M_PL_060_18; M_PL_060_23; M_PL_060_24"
"Eristalinus quinquestriatum","M_PL_044"
"Eristalinus sepulcharius","M_PL_006"
"Eristalinus vicarians","M_PL_061_02; M_PL_061_05; M_PL_061_09; M_PL_061_12; M_PL_061_18; M_PL_061_22; M_PL_061_27; M_PL_061_29; M_PL_061_39; M_PL_061_40; M_PL_061_44; M_PL_061_46; M_PL_061_48"
"Eristalinus viridis","M_PL_044; M_PL_055"
"Eristalis cerealis","M_PL_054; M_PL_055; M_PL_056; M_PL_057"
"Eristalis dimidiata","M_PL_033"
"Eristalis intricarius","M_PL_006; M_PL_007"
"Eristalis kyokoae","M_PL_055"
"Eristalis nemorum","M_PL_006; M_PL_007"
"Eristalis pertinax","M_PL_006; M_PL_017"
"Eristalis tenax","M_PL_006; M_PL_007; M_PL_017; M_PL_019; M_PL_044; M_PL_056"
"Eristalodes seychellarum","M_PL_061_39"
"Eristalomya tenax","M_PL_054; M_PL_057"
"Eristatinus viridis","M_PL_055"
"Eristatis cerealis","M_PL_057"
"Erynnis montanus","M_PL_057"
"Euapis basalis","M_PL_054"
